fga,tov,usg%,ts%_max,ft_opp,drb_opp,usg%_opp,ast%_max_opp,drb_10,usg%_10,drtg_10,gmsc_max_10,drb%_max_10,usg%_opp_10,fta_max_opp_10,ftr_max_opp_10,ast%_max_opp_10,drtg_max_opp_10,home_next,pts_10_opp,usg%_10_opp,gmsc_max_10_opp,drtg_max_10_opp,pf_opp_10_opp,pts_opp_10_opp,usg%_opp_10_opp,fg_max_opp_10_opp,trb_max_opp_10_opp,ast_max_opp_10_opp,ast%_max_opp_10_opp
80.0,11.0,100.0,1.0,15.0,30.0,0.0,27.9,30.5,100.0,109.77000000000001,22.34,45.129999999999995,100.0,7.7,1.4462,35.260000000000005,118.0,1.0,106.5,100.0,24.7,111.5,18.8,94.0,100.0,9.9,12.1,6.6,41.88
81.0,15.0,100.0,0.727,17.0,31.0,0.0,59.1,29.3,100.0,111.16,24.310000000000002,36.519999999999996,100.0,8.2,1.7563,36.910000000000004,118.8,1.0,107.7,100.0,26.869999999999997,115.8,20.2,98.7,100.0,9.7,9.7,7.1,38.27
